Base64Example           Base64第三方库测试
BitmapFontExample       位图字体测试
boneDemo                龙骨测试
CanvasExample           canvas测试
ChatTextExample         聊天自动滚动测试
DateTimerExample        自定义计时器，系统计时器
FaceExample             人类识别，Face++
GifExample              动态表情生成
GuildExample            新手指引
HtmlTextExample         可复制粘贴的文本
JSZipExample            压缩第三方库使用
MovieBitmapExample      自定义位图动画
P2Example               P2物理引擎
PaticlExample           粒子demo
PopupMenuExample        下拉弹出框Demo
ProtobufExample         protobuf Demo
QRCodeExample           动态生成二维码
ScrollViewExample       自定义滚动组件
ShakeExample            震屏demo
VirtualJoystick         虚拟摇杆
WebSocketServer         websocket测试demo,包含白鹭和Flash服务端
WeiXinExample           微信公众号接口测试，录音，获取用户信息等
WxShouQuan              微信授权demo，包含php服务端
YaoYiYaoExample         摇一摇demo

